latitude,longitude,time,u10,v10,i10fg,windspeed,bf,month
-24.0,-46.25,2017-01-04 15:00:00,-2.4299657,2.2629871,7.809109,6.454571932953539,BF4,1
-24.0,-46.25,2017-01-04 16:00:00,-2.7644744,3.081325,8.379541,8.04687826214212,BF5,1
-24.0,-46.25,2017-01-04 17:00:00,-3.1321895,3.574305,8.507492,9.238123309302141,BF5,1
-24.0,-46.25,2017-01-04 18:00:00,-3.7797198,3.111841,7.7792416,9.51686812373327,BF5,1
-24.0,-46.25,2017-01-04 19:00:00,-4.16941,1.9316117,7.4982657,8.932193931346683,BF5,1
-24.0,-46.25,2017-01-04 20:00:00,-3.6996331,1.1584024,6.362195,7.535796852373146,BF4,1
-24.0,-46.25,2017-01-04 21:00:00,-3.375868,0.6671418,5.878784,6.689074642316403,BF4,1
-24.0,-46.25,2017-01-04 22:00:00,-3.4261665,-1.0808526,4.9414616,6.983478655233964,BF4,1
-24.0,-46.25,2017-01-04 23:00:00,-2.4021308,-1.0503367,4.062767,5.096224897417633,BF3,1
-24.0,-46.25,2017-01-05 00:00:00,-1.6540036,-0.77311623,3.311287,3.549013272584871,BF3,1
-24.0,-46.25,2017-01-05 01:00:00,-0.6885681,-0.3734027,2.3234472,1.5226093541946946,BF2,1
-24.0,-46.25,2017-01-05 02:00:00,-0.109892726,-0.41853154,2.076764,0.8411369305360041,BF1,1
-24.0,-46.25,2017-01-05 03:00:00,-0.019062638,-0.790738,1.8846531,1.5375182627996824,BF2,1
-24.0,-46.25,2017-01-05 04:00:00,0.88142455,-1.2201074,1.9425449,2.9258387938214168,BF2,1
-24.0,-46.25,2017-01-05 05:00:00,1.1417065,-1.0615116,2.2161455,3.030341101025005,BF2,1
-24.0,-46.25,2017-01-05 06:00:00,0.6655811,-1.1625143,3.0918894,2.6039085042190537,BF2,1
-24.0,-46.25,2017-01-05 07:00:00,0.66704607,-1.1586462,2.2331076,2.598805616943248,BF2,1
-24.0,-46.25,2017-01-05 08:00:00,0.9366063,-1.3481878,2.3920317,3.1910098696555504,BF2,1
-24.0,-46.25,2017-01-05 09:00:00,1.2637899,-1.4427437,2.7054558,3.728268479236968,BF3,1
-24.0,-46.25,2017-01-05 10:00:00,1.4102899,-0.5732595,2.6490393,2.9592081239179704,BF2,1
-24.0,-46.25,2017-01-05 11:00:00,1.2491398,-0.40090978,2.151617,2.5501275502563763,BF2,1
-24.0,-46.25,2017-01-05 12:00:00,1.0293896,-0.477414,1.400136,2.205700078768563,BF2,1
-24.0,-46.25,2017-01-05 13:00:00,-0.43463457,-0.5001935,3.181861,1.2880822428333265,BF1,1
-24.0,-46.25,2017-01-05 14:00:00,-0.95617485,-0.022686362,4.2677836,1.8591782905132084,BF2,1
-24.0,-46.25,2017-01-05 15:00:00,-1.3854202,0.7896346,5.3149896,3.0997536283741116,BF2,1
-24.0,-46.25,2017-01-05 16:00:00,-1.8713121,1.80654,6.003785,5.05601237060544,BF3,1
-24.0,-46.25,2017-01-05 17:00:00,-2.6589942,3.0164256,6.269643,7.8163516099208215,BF4,1
-24.0,-46.25,2017-01-05 18:00:00,-1.9274704,0.7350501,6.5214887,4.009902401137331,BF3,1
-24.0,-46.25,2017-01-05 19:00:00,-0.8702282,-0.94288695,3.1169634,2.49413721644144,BF2,1
-24.0,-46.25,2017-01-05 20:00:00,-0.5835763,0.63232803,2.6969748,1.672610206300738,BF2,1
-24.0,-46.25,2017-01-05 21:00:00,-0.67684805,2.0455086,1.783989,4.188174709226802,BF3,1
-24.0,-46.25,2017-01-05 22:00:00,-1.8005037,0.045222044,2.1210117,3.5010030073328067,BF3,1
-24.0,-46.25,2017-01-05 23:00:00,-1.7008836,-1.6060675,1.7327347,4.547290911693379,BF3,1
-24.0,-46.25,2017-01-06 00:00:00,-0.07766271,-1.4513396,1.0125961,2.825214732701927,BF2,1
-24.0,-46.25,2017-01-06 01:00:00,2.3444722,-3.0166693,0.84629726,7.426616373375204,BF4,1
-24.0,-46.25,2017-01-06 02:00:00,0.98006797,-4.8630877,0.6265316,9.64314485856395,BF5,1
-24.0,-46.25,2017-01-06 03:00:00,1.2007947,-3.3983312,0.98604774,7.00608655935456,BF4,1
-24.0,-46.25,2017-01-06 04:00:00,1.1553798,-2.369821,1.4362717,5.124880415089815,BF3,1
-24.0,-46.25,2017-01-06 05:00:00,1.52456,-1.3984743,1.9233704,4.021463137387449,BF3,1
-24.0,-46.25,2017-01-06 06:00:00,1.5748583,-0.8427435,2.2821493,3.4720323936551765,BF3,1
-24.0,-46.25,2017-01-06 07:00:00,1.8390468,0.05811596,3.1014767,3.576605582271015,BF3,1
-24.0,-46.25,2017-01-06 08:00:00,1.9303652,0.8829011,5.3931613,4.126184435805674,BF3,1
-24.0,-46.25,2017-01-06 09:00:00,1.9484335,1.7992334,4.4665318,5.155269877616635,BF3,1
-24.0,-46.25,2017-01-06 10:00:00,2.654564,0.6680014,4.80503,5.3209295989311425,BF3,1
-24.0,-46.25,2017-01-06 11:00:00,1.8952053,-0.46537983,4.3761916,3.7934270273741353,BF3,1
-24.0,-46.25,2017-01-06 12:00:00,1.5177233,-0.11724222,4.921181,2.959007546191983,BF2,1
-24.0,-46.25,2017-01-06 13:00:00,1.2022598,0.92888963,5.3426447,2.9532778420133905,BF2,1
-24.0,-46.25,2017-01-06 14:00:00,1.3512015,3.5536747,7.297674,7.390278303200551,BF4,1
-24.0,-46.25,2017-01-06 15:00:00,2.3239622,5.3008094,7.533664,11.250709372564748,BF6,1
-24.0,-46.25,2017-01-06 16:00:00,2.3713305,4.622156,7.458074,10.098180605110638,BF5,1
-24.0,-46.25,2017-01-06 17:00:00,2.1432786,4.3690042,6.094863,9.459523305113517,BF5,1
-24.0,-46.25,2017-01-06 18:00:00,1.6007401,3.859262,6.314997,8.121519048842464,BF5,1
-24.0,-46.25,2017-01-06 19:00:00,1.3863616,3.2055373,6.423405,6.788852327449847,BF4,1
-24.0,-46.25,2017-01-06 20:00:00,1.6295516,3.2300358,6.3585076,7.0324655593878,BF4,1
-24.0,-46.25,2017-01-06 21:00:00,1.979687,2.725881,5.6733994,6.54864687210585,BF4,1
-24.0,-46.25,2017-01-06 22:00:00,2.0143585,1.2284598,5.4521585,4.586300704046139,BF3,1
-24.0,-46.25,2017-01-06 23:00:00,2.3576572,1.3449354,5.4510527,5.276167878753644,BF3,1
-24.0,-46.25,2017-01-07 00:00:00,2.3449605,0.10969186,4.6995716,4.563222795015859,BF3,1
-24.0,-46.25,2017-01-07 01:00:00,2.694119,-0.04976368,4.4952927,5.237841645629523,BF3,1
-24.0,-46.25,2017-01-07 02:00:00,3.0476725,1.5310386,4.625456,6.6297315073220515,BF4,1
-24.0,-46.25,2017-01-07 03:00:00,3.1809876,1.2177148,4.69994,6.620927065120277,BF4,1
-24.0,-46.25,2017-01-07 04:00:00,3.0017693,1.195795,4.9388804,6.280917639636928,BF4,1
-24.0,-46.25,2017-01-07 05:00:00,2.8748026,0.7488037,4.967642,5.774624107900068,BF4,1
-24.0,-46.25,2017-01-07 06:00:00,3.0608575,0.42344546,5.3223643,6.006496751710548,BF4,1
-24.0,-46.25,2017-01-07 07:00:00,2.9548893,0.00654006,4.514098,5.743859355365201,BF4,1
-24.0,-46.25,2017-01-07 08:00:00,2.8152258,-0.841884,4.3249373,5.711816030469074,BF4,1
-24.0,-46.25,2017-01-07 09:00:00,2.8796859,-0.81222785,4.5207357,5.816060953060147,BF4,1
-24.0,-46.25,2017-01-07 10:00:00,2.2038321,-0.51652586,4.3662357,4.399996289699604,BF3,1
-24.0,-46.25,2017-01-07 11:00:00,1.8214668,-0.21781528,3.9303913,3.5658738785338198,BF3,1
-24.0,-46.25,2017-01-07 12:00:00,1.6705717,0.8008094,4.1859245,3.6011551125793253,BF3,1
-24.0,-46.25,2017-01-07 13:00:00,1.6661767,2.1967978,5.091905,5.359537600041811,BF3,1
-24.0,-46.25,2017-01-07 14:00:00,1.5602083,3.4531016,6.5296006,7.365647424468434,BF4,1
-24.0,-46.25,2017-01-07 15:00:00,1.60367,4.7265973,7.6335917,9.70219494080238,BF5,1
-24.0,-46.25,2017-01-07 16:00:00,1.9137619,4.890351,8.487211,10.208055547219084,BF5,1
-24.0,-46.25,2017-01-07 17:00:00,1.7311251,3.7745914,7.1896353,8.072066682019077,BF5,1
-24.0,-46.25,2017-01-07 18:00:00,1.970897,3.236053,6.30836,7.365214668865484,BF4,1
-24.0,-46.25,2017-01-07 19:00:00,2.6814225,2.7073996,5.7183847,7.407052304349888,BF4,1
-24.0,-46.25,2017-01-07 20:00:00,2.0226603,2.2449355,5.4646955,5.8737853671114975,BF4,1
-24.0,-46.25,2017-01-07 21:00:00,2.5852206,2.065709,4.5793643,6.432486467047992,BF4,1
-24.0,-46.25,2017-01-07 22:00:00,2.6360073,0.28633952,4.499349,5.154130285192816,BF3,1
-24.0,-46.25,2017-01-07 23:00:00,1.6525034,-0.16323078,3.1667423,3.2278424124313965,BF2,1
-24.0,-46.25,2017-01-08 00:00:00,1.9401319,-0.10090983,2.3039045,3.776412407962151,BF3,1
-24.0,-46.25,2017-01-08 01:00:00,1.7701918,-0.1567837,1.7526464,3.4544474417539024,BF3,1
-24.0,-46.25,2017-01-08 02:00:00,1.7321018,-0.43443406,2.3149662,3.4712238540289984,BF3,1
-24.0,-46.25,2017-01-08 03:00:00,1.7721452,-0.5573567,1.4606085,3.6111299602002314,BF3,1
-24.0,-46.25,2017-01-08 04:00:00,1.5939033,-0.8448926,2.6744823,3.5066713714209095,BF3,1
